[3J[H[2Jtime, , AT_21, WU_422, WV_423, depth, latitude, longitude
, , AIR TEMPERATURE (C), WIND U (M/S)             , WIND V (M/S)             , , , 
time, , C, m s-1, m s-1, m, degree_north, degree_west
2018-01-01 00:00:00, , -21.348984, -4.5464783, -3.6280098, 10.0, 71.21263, 164.4151
2018-01-02 00:00:00, , -19.522125, -6.096176, -3.389885, 10.0, 71.21263, 164.4151
2018-01-03 00:00:00, , -19.701828, -0.8368473, -3.2108078, 10.0, 71.21263, 164.4151
2018-01-04 00:00:00, , -19.801636, 0.8094826, -1.5798416, 10.0, 71.21263, 164.4151
2018-01-05 00:00:00, , -18.653702, -1.950779, -2.132349, 10.0, 71.21263, 164.4151
2018-01-06 00:00:00, , -18.84111, -6.060997, -2.8997822, 10.0, 71.21263, 164.4151
2018-01-07 00:00:00, , -23.550827, -7.7649956, -1.4629631, 10.0, 71.21263, 164.4151
2018-01-08 00:00:00, , -27.2406, -7.4106216, 0.4849186, 10.0, 71.21263, 164.4151
2018-01-09 00:00:00, , -30.066772, -2.9094105, 0.16189957, 10.0, 71.21263, 164.4151
2018-01-10 00:00:00, , -24.628342, -0.8243127, -1.2948537, 10.0, 71.21263, 164.4151
2018-01-11 00:00:00, , -31.056107, -2.0605583, -1.3412857, 10.0, 71.21263, 164.4151
2018-01-12 00:00:00, , -31.290115, -2.9699612, -1.8497983, 10.0, 71.21263, 164.4151
2018-01-13 00:00:00, , -30.651855, -3.256052, -1.9581549, 10.0, 71.21263, 164.4151
2018-01-14 00:00:00, , -29.12854, -1.7052269, -2.1686554, 10.0, 71.21263, 164.4151
2018-01-15 00:00:00, , -29.174973, -0.9556196, -1.9504814, 10.0, 71.21263, 164.4151
2018-01-16 00:00:00, , -21.245895, -2.3734343, -0.86717224, 10.0, 71.21263, 164.4151
2018-01-17 00:00:00, , -13.229218, -1.3161564, -1.0696812, 10.0, 71.21263, 164.4151
2018-01-18 00:00:00, , -19.065384, 1.8228569, -1.8747845, 10.0, 71.21263, 164.4151
2018-01-19 00:00:00, , -28.173004, 6.0547485, 0.80661774, 10.0, 71.21263, 164.4151
2018-01-20 00:00:00, , -32.67514, 3.050686, 1.7528576, 10.0, 71.21263, 164.4151
2018-01-21 00:00:00, , -33.53044, 2.9885654, 0.8508549, 10.0, 71.21263, 164.4151
2018-01-22 00:00:00, , -33.545105, 1.3130322, -1.2520523, 10.0, 71.21263, 164.4151
2018-01-23 00:00:00, , -30.063507, 0.719347, -1.463995, 10.0, 71.21263, 164.4151
2018-01-24 00:00:00, , -27.600204, 0.44223785, -1.4751701, 10.0, 71.21263, 164.4151
2018-01-25 00:00:00, , -27.115875, 0.2378807, -1.8114815, 10.0, 71.21263, 164.4151
2018-01-26 00:00:00, , -25.9673, 0.48729515, -1.8662434, 10.0, 71.21263, 164.4151
2018-01-27 00:00:00, , -22.555054, -2.8519168, 1.5448093, 10.0, 71.21263, 164.4151
2018-01-28 00:00:00, , -21.591675, 1.2341404, 4.687296, 10.0, 71.21263, 164.4151
2018-01-29 00:00:00, , -22.59195, 0.59443855, -0.6943989, 10.0, 71.21263, 164.4151
2018-01-30 00:00:00, , -22.53688, -1.2375278, -2.2389736, 10.0, 71.21263, 164.4151
2018-01-31 00:00:00, , -24.840546, -1.888279, 0.7054939, 10.0, 71.21263, 164.4151
2018-02-01 00:00:00, , -25.136826, 1.3859882, -0.028381348, 10.0, 71.21263, 164.4151
2018-02-02 00:00:00, , -20.53888, 0.98377705, -0.0915966, 10.0, 71.21263, 164.4151
2018-02-03 00:00:00, , -23.80075, 1.0887718, 1.942637, 10.0, 71.21263, 164.4151
2018-02-04 00:00:00, , -26.557098, -0.6645601, 0.13575602, 10.0, 71.21263, 164.4151
2018-02-05 00:00:00, , -27.571198, -2.784108, -1.7574047, 10.0, 71.21263, 164.4151
2018-02-06 00:00:00, , -25.51146, -5.41119, -0.3017298, 10.0, 71.21263, 164.4151
2018-02-07 00:00:00, , -25.705109, -1.9796524, 1.4712105, 10.0, 71.21263, 164.4151
2018-02-08 00:00:00, , -13.779297, 0.67022896, 2.830635, 10.0, 71.21263, 164.4151
2018-02-09 00:00:00, , -15.903931, -1.333416, 1.3603895, 10.0, 71.21263, 164.4151
2018-02-10 00:00:00, , -19.640076, -4.386423, -0.26387453, 10.0, 71.21263, 164.4151
2018-02-11 00:00:00, , -13.316681, -1.3318, 1.6933765, 10.0, 71.21263, 164.4151
2018-02-12 00:00:00, , -12.575867, 0.32887077, -1.7892151, 10.0, 71.21263, 164.4151
2018-02-13 00:00:00, , -15.080444, -3.5328844, -1.4601383, 10.0, 71.21263, 164.4151
2018-02-14 00:00:00, , -20.289764, -6.6014977, -0.20073128, 10.0, 71.21263, 164.4151
2018-02-15 00:00:00, , -12.975342, -0.7648239, 2.628992, 10.0, 71.21263, 164.4151
2018-02-16 00:00:00, , -9.279388, -2.0628695, 1.5482941, 10.0, 71.21263, 164.4151
2018-02-17 00:00:00, , -11.128387, -3.6770732, 2.08981, 10.0, 71.21263, 164.4151
2018-02-18 00:00:00, , -6.6707764, -3.1210747, 2.4412289, 10.0, 71.21263, 164.4151
2018-02-19 00:00:00, , -3.755951, -1.6704788, 5.154087, 10.0, 71.21263, 164.4151
2018-02-20 00:00:00, , -2.10672, -2.0560672, 6.295025, 10.0, 71.21263, 164.4151
2018-02-21 00:00:00, , -6.2033386, 4.313853, 5.6391525, 10.0, 71.21263, 164.4151
2018-02-22 00:00:00, , -12.825256, 0.8490715, -0.6885886, 10.0, 71.21263, 164.4151
2018-02-23 00:00:00, , -14.285278, 4.7979794, -1.0350857, 10.0, 71.21263, 164.4151
2018-02-24 00:00:00, , -16.054169, 3.499052, -1.5969164, 10.0, 71.21263, 164.4151
2018-02-25 00:00:00, , -13.735931, 6.1974983, -1.3790989, 10.0, 71.21263, 164.4151
2018-02-26 00:00:00, , -16.655151, 3.3840122, 0.3584671, 10.0, 71.21263, 164.4151
2018-02-27 00:00:00, , -19.141953, 1.9238129, -2.7666569, 10.0, 71.21263, 164.4151
2018-02-28 00:00:00, , -19.415482, 2.7539883, 0.6411743, 10.0, 71.21263, 164.4151
2018-03-01 00:00:00, , -19.774841, -3.3949776, 1.25284, 10.0, 71.21263, 164.4151
2018-03-02 00:00:00, , -12.203918, -4.700144, 2.6732616, 10.0, 71.21263, 164.4151
2018-03-03 00:00:00, , -8.090118, 0.18750954, 3.339529, 10.0, 71.21263, 164.4151
2018-03-04 00:00:00, , -12.845551, 2.3079586, 1.3444271, 10.0, 71.21263, 164.4151
2018-03-05 00:00:00, , -10.043091, -2.61781, -0.50860214, 10.0, 71.21263, 164.4151
2018-03-06 00:00:00, , -10.091431, 2.3607159, 0.08725357, 10.0, 71.21263, 164.4151
2018-03-07 00:00:00, , -16.62326, 1.1690431, -1.2279835, 10.0, 71.21263, 164.4151
2018-03-08 00:00:00, , -13.666901, -3.3025646, -4.3226357, 10.0, 71.21263, 164.4151
2018-03-09 00:00:00, , -14.800171, -3.8355427, -6.067814, 10.0, 71.21263, 164.4151
2018-03-10 00:00:00, , -19.089813, -1.6940708, -5.828001, 10.0, 71.21263, 164.4151
2018-03-11 00:00:00, , -18.157684, -4.434071, -2.6346054, 10.0, 71.21263, 164.4151
2018-03-12 00:00:00, , -16.878479, -3.6217232, -0.7819847, 10.0, 71.21263, 164.4151
2018-03-13 00:00:00, , -17.982468, 0.39561653, 1.1924362, 10.0, 71.21263, 164.4151
2018-03-14 00:00:00, , -17.220871, 0.17646408, -3.012003, 10.0, 71.21263, 164.4151
2018-03-15 00:00:00, , -15.941162, 1.0770651, -4.1273174, 10.0, 71.21263, 164.4151
2018-03-16 00:00:00, , -17.109253, 3.0423393, -0.8475851, 10.0, 71.21263, 164.4151
2018-03-17 00:00:00, , -19.874146, 3.8708153, -0.6582986, 10.0, 71.21263, 164.4151
2018-03-18 00:00:00, , -20.185349, -2.829277, -2.0481415, 10.0, 71.21263, 164.4151
2018-03-19 00:00:00, , -19.125443, -4.4860306, -2.0166807, 10.0, 71.21263, 164.4151
2018-03-20 00:00:00, , -17.464066, 0.30483246, -1.0653973, 10.0, 71.21263, 164.4151
2018-03-21 00:00:00, , -17.583618, -0.031709194, -0.10646641, 10.0, 71.21263, 164.4151
2018-03-22 00:00:00, , -14.541809, -5.951654, 1.1113548, 10.0, 71.21263, 164.4151
2018-03-23 00:00:00, , -9.122131, -5.9608493, 1.3938122, 10.0, 71.21263, 164.4151
2018-03-24 00:00:00, , -14.492584, -4.137097, 0.6237469, 10.0, 71.21263, 164.4151
2018-03-25 00:00:00, , -18.614212, -3.0076928, -0.47925186, 10.0, 71.21263, 164.4151
2018-03-26 00:00:00, , -19.404327, -4.9500237, -0.20674765, 10.0, 71.21263, 164.4151
2018-03-27 00:00:00, , -19.884537, -3.8870983, 0.4129269, 10.0, 71.21263, 164.4151
2018-03-28 00:00:00, , -20.327805, -0.68613434, 1.702154, 10.0, 71.21263, 164.4151
2018-03-29 00:00:00, , -16.524658, -0.9129125, 2.221239, 10.0, 71.21263, 164.4151
2018-03-30 00:00:00, , -10.502411, -1.351729, 4.5986686, 10.0, 71.21263, 164.4151
2018-03-31 00:00:00, , -3.3857117, 2.3942237, 5.2830296, 10.0, 71.21263, 164.4151
2018-04-01 00:00:00, , -10.410309, 4.000147, -0.23251712, 10.0, 71.21263, 164.4151
2018-04-02 00:00:00, , -9.94986, -1.5504819, 2.5107079, 10.0, 71.21263, 164.4151
2018-04-03 00:00:00, , -11.934448, -2.8527336, -1.4007928, 10.0, 71.21263, 164.4151
2018-04-04 00:00:00, , -17.88092, -3.166479, -2.2850738, 10.0, 71.21263, 164.4151
2018-04-05 00:00:00, , -13.758087, -4.775038, -3.613224, 10.0, 71.21263, 164.4151
2018-04-06 00:00:00, , -16.51175, -4.5557137, -4.194217, 10.0, 71.21263, 164.4151
2018-04-07 00:00:00, , -14.887421, -5.3161526, -4.0858502, 10.0, 71.21263, 164.4151
2018-04-08 00:00:00, , -12.931183, -2.6501255, 0.4154867, 10.0, 71.21263, 164.4151
2018-04-09 00:00:00, , -11.323944, -3.2116547, -1.4804211, 10.0, 71.21263, 164.4151
2018-04-10 00:00:00, , -15.14975, -2.2168121, -2.0294833, 10.0, 71.21263, 164.4151
2018-04-11 00:00:00, , -14.277191, -0.6640949, -4.3025312, 10.0, 71.21263, 164.4151
2018-04-12 00:00:00, , -13.6892395, -0.59960246, -6.9047174, 10.0, 71.21263, 164.4151
2018-04-13 00:00:00, , -15.33374, 0.8812053, -2.7298005, 10.0, 71.21263, 164.4151
2018-04-14 00:00:00, , -14.351196, -1.5916983, -1.4861698, 10.0, 71.21263, 164.4151
2018-04-15 00:00:00, , -15.345093, -4.176388, 0.5632839, 10.0, 71.21263, 164.4151
2018-04-16 00:00:00, , -13.705139, -4.0594177, 0.0036621094, 10.0, 71.21263, 164.4151
2018-04-17 00:00:00, , -12.250183, -5.7090387, -0.7596569, 10.0, 71.21263, 164.4151
2018-04-18 00:00:00, , -11.682831, -7.262581, -1.2857876, 10.0, 71.21263, 164.4151
2018-04-19 00:00:00, , -12.900299, -4.67574, -1.7387675, 10.0, 71.21263, 164.4151
2018-04-20 00:00:00, , -12.792053, -1.4021004, -2.1600118, 10.0, 71.21263, 164.4151
2018-04-21 00:00:00, , -15.363831, -0.27582347, 0.65527976, 10.0, 71.21263, 164.4151
2018-04-22 00:00:00, , -11.86731, -0.009806037, 0.25069153, 10.0, 71.21263, 164.4151
2018-04-23 00:00:00, , -13.689545, -3.7090814, -0.43442655, 10.0, 71.21263, 164.4151
2018-04-24 00:00:00, , -13.024506, -5.454043, -2.2007263, 10.0, 71.21263, 164.4151
2018-04-25 00:00:00, , -9.615112, -4.7537994, -3.3007808, 10.0, 71.21263, 164.4151
2018-04-26 00:00:00, , -3.8049011, -2.5479527, 0.33962786, 10.0, 71.21263, 164.4151
2018-04-27 00:00:00, , -3.0798035, -2.825243, 0.51786935, 10.0, 71.21263, 164.4151
2018-04-28 00:00:00, , -5.3842163, -3.9513612, -0.77820206, 10.0, 71.21263, 164.4151
2018-04-29 00:00:00, , -5.790741, -4.9688997, -2.422742, 10.0, 71.21263, 164.4151
2018-04-30 00:00:00, , -6.8807983, -4.71721, -4.3578863, 10.0, 71.21263, 164.4151
2018-05-01 00:00:00, , -4.886688, -3.9426725, -3.9448962, 10.0, 71.21263, 164.4151
2018-05-02 00:00:00, , -5.815338, -1.6842245, -2.4780276, 10.0, 71.21263, 164.4151
2018-05-03 00:00:00, , -6.928131, -2.4526048, -0.76849604, 10.0, 71.21263, 164.4151
2018-05-04 00:00:00, , -9.648346, -3.0180721, -1.7196105, 10.0, 71.21263, 164.4151
2018-05-05 00:00:00, , -7.989319, -3.5509145, -3.3402145, 10.0, 71.21263, 164.4151
2018-05-06 00:00:00, , -7.679901, -2.635826, -2.1119874, 10.0, 71.21263, 164.4151
2018-05-07 00:00:00, , -8.258392, -2.2231932, -2.1983395, 10.0, 71.21263, 164.4151
2018-05-08 00:00:00, , -3.2131042, -1.4856554, 0.59136903, 10.0, 71.21263, 164.4151
2018-05-09 00:00:00, , -3.1019592, -3.193325, -1.2025055, 10.0, 71.21263, 164.4151
2018-05-10 00:00:00, , -2.4820862, -5.470589, -2.2820415, 10.0, 71.21263, 164.4151
2018-05-11 00:00:00, , -1.6130981, -6.0222726, -1.0246868, 10.0, 71.21263, 164.4151
2018-05-12 00:00:00, , -1.8076172, -0.887697, -1.0746888, 10.0, 71.21263, 164.4151
2018-05-13 00:00:00, , -0.41775513, -0.059144735, 0.116852045, 10.0, 71.21263, 164.4151
2018-05-14 00:00:00, , -0.7636719, -1.8902845, -0.23322368, 10.0, 71.21263, 164.4151
2018-05-15 00:00:00, , -0.35473633, -2.7904482, -0.3868755, 10.0, 71.21263, 164.4151
2018-05-16 00:00:00, , -2.1383972, -3.1916418, -1.0131899, 10.0, 71.21263, 164.4151
2018-05-17 00:00:00, , -3.153778, -4.1863003, -0.78426135, 10.0, 71.21263, 164.4151
2018-05-18 00:00:00, , -2.8788147, -4.314184, 0.6560954, 10.0, 71.21263, 164.4151
2018-05-19 00:00:00, , -2.7561035, -7.247867, -0.42709923, 10.0, 71.21263, 164.4151
2018-05-20 00:00:00, , -2.907013, -6.957557, -2.3713245, 10.0, 71.21263, 164.4151
2018-05-21 00:00:00, , -2.1485596, -6.0789456, -4.0678663, 10.0, 71.21263, 164.4151
2018-05-22 00:00:00, , -1.7518616, -6.052083, -4.6406803, 10.0, 71.21263, 164.4151
2018-05-23 00:00:00, , -1.476593, -7.513631, -3.6161566, 10.0, 71.21263, 164.4151
2018-05-24 00:00:00, , -1.2987366, -6.5235653, -1.6984321, 10.0, 71.21263, 164.4151
2018-05-25 00:00:00, , -1.6356812, -6.592945, -2.498361, 10.0, 71.21263, 164.4151
2018-05-26 00:00:00, , -1.897644, -6.6954107, -3.2546756, 10.0, 71.21263, 164.4151
2018-05-27 00:00:00, , -1.914917, -8.330729, -2.025937, 10.0, 71.21263, 164.4151
2018-05-28 00:00:00, , -1.6523132, -5.753907, 1.2135677, 10.0, 71.21263, 164.4151
2018-05-29 00:00:00, , -1.7588806, -4.711237, -0.07568383, 10.0, 71.21263, 164.4151
2018-05-30 00:00:00, , -1.5035706, -6.3094306, -1.4342437, 10.0, 71.21263, 164.4151
2018-05-31 00:00:00, , -1.7408142, -4.29393, -0.43165815, 10.0, 71.21263, 164.4151
2018-06-01 00:00:00, , -2.3380432, -0.5359335, 1.7008302, 10.0, 71.21263, 164.4151
2018-06-02 00:00:00, , -0.7092285, -2.259039, 3.1188831, 10.0, 71.21263, 164.4151
2018-06-03 00:00:00, , -0.3833313, -5.927484, 1.2014465, 10.0, 71.21263, 164.4151
2018-06-04 00:00:00, , -0.51379395, -6.2464743, -2.0789914, 10.0, 71.21263, 164.4151
2018-06-05 00:00:00, , -0.40493774, -2.8525028, -3.9834137, 10.0, 71.21263, 164.4151
2018-06-06 00:00:00, , -0.045959473, -2.129026, -4.25397, 10.0, 71.21263, 164.4151
2018-06-07 00:00:00, , -0.14520264, -5.5856595, -4.967231, 10.0, 71.21263, 164.4151
2018-06-08 00:00:00, , -0.89779663, -6.028042, -4.1790147, 10.0, 71.21263, 164.4151
2018-06-09 00:00:00, , -0.73379517, 5.148443, -1.4173162, 10.0, 71.21263, 164.4151
2018-06-10 00:00:00, , -0.35928345, 6.200229, -3.1697998, 10.0, 71.21263, 164.4151
2018-06-11 00:00:00, , -0.20480347, 3.467784, -1.5484962, 10.0, 71.21263, 164.4151
2018-06-12 00:00:00, , 0.15435791, 3.2370253, -0.9198576, 10.0, 71.21263, 164.4151
2018-06-13 00:00:00, , -0.8284607, 1.5897784, -1.1256386, 10.0, 71.21263, 164.4151
2018-06-14 00:00:00, , -0.4199829, 1.3320142, -2.526083, 10.0, 71.21263, 164.4151
2018-06-15 00:00:00, , -0.004638672, 2.303708, -3.2738152, 10.0, 71.21263, 164.4151
2018-06-16 00:00:00, , -0.2609558, 0.632926, -3.4118538, 10.0, 71.21263, 164.4151
2018-06-17 00:00:00, , -1.5108643, 0.17635846, -1.6465013, 10.0, 71.21263, 164.4151
2018-06-18 00:00:00, , -0.5661316, 0.3763399, -1.4314069, 10.0, 71.21263, 164.4151
2018-06-19 00:00:00, , -0.990448, 0.08921325, -2.4837997, 10.0, 71.21263, 164.4151
2018-06-20 00:00:00, , -1.2550964, -0.23568726, -2.0548007, 10.0, 71.21263, 164.4151
2018-06-21 00:00:00, , -0.7052307, 1.0381149, 0.06875551, 10.0, 71.21263, 164.4151
2018-06-22 00:00:00, , -0.11956787, -0.6516545, -1.6220404, 10.0, 71.21263, 164.4151
2018-06-23 00:00:00, , 0.22546387, -1.5038939, -0.43228364, 10.0, 71.21263, 164.4151
2018-06-24 00:00:00, , 0.9659729, 0.84874797, 3.6484344, 10.0, 71.21263, 164.4151
2018-06-25 00:00:00, , 0.87664795, 0.65629077, 4.437666, 10.0, 71.21263, 164.4151
2018-06-26 00:00:00, , 0.9786682, -1.4162889, 0.97555363, 10.0, 71.21263, 164.4151
2018-06-27 00:00:00, , 0.48251343, -3.3716211, -1.1168236, 10.0, 71.21263, 164.4151
2018-06-28 00:00:00, , 0.30966187, -4.3214674, -1.3939186, 10.0, 71.21263, 164.4151
2018-06-29 00:00:00, , 0.2574463, -3.6721926, -1.115839, 10.0, 71.21263, 164.4151
